D³ugoœæ
251,64
263,28
371,40
238,37
255,16
106,51
453,22
249,93
352,09
317,00
474,89
385,02
415,60
506,17
380,92
450,88
459,44
395,32
349,77
462,35
385,42
562,38
126,00
157,00
322,01
377,77
405,12
247,03
456,81
558,17
413,15
235,00
366,75
542,50
187,30
469,61
62,00
486,95
478,40
292,77
515,26
97,62
123,69
567,00
382,29
265,00
402,74
524,37
499,44
325,06
311,85
223,89
203,00
341,88
246,47
282,21
519,83
331,04
479,85
457,00
265,00
446,86
575,05
651,77
393,00
463,18
449,02
642,95
380,67
323,00
578,83
8,25
565,56
557,57
172,00
625,12
445,47
366,02
415,00
181,16
370,11
519,03
158,00
393,51
360,89
250,95
332,52
464,58
521,79
446,95
159,15
85,62
170,08
154,03
215,64
337,02
423,48
269,00
353,06
78,82
