1	10	2
8	8	11
4	2	7
2	3	17
16	2	8
15	9	9
13	12	3
14	5	18
1	8	8
2	7	4
19	9	6
8	18	5
7	11	15
15	13	8
16	7	14
15	6	16
11	8	14
7	12	6
8	14	6
1	15	18
14	1	8
5	3	17
2	2	7
3	10	13
11	9	5
6	16	19
10	3	8
19	2	13
13	9	15
6	8	4
11	1	3
6	11	15
15	14	9
10	16	3
16	11	13
19	15	1
11	11	13
9	5	18
17	12	1
7	2	8
10	2	13
13	17	10
18	18	6
11	3	7
16	19	19
3	9	8
1	18	18
18	1	3
5	16	7
14	18	11
1	8	12
13	8	8
13	15	14
10	19	2
13	9	15
8	19	10
11	6	16
11	8	13
13	3	12
5	2	6
2	18	19
7	17	16
6	17	15
10	16	16
1	15	14
18	14	10
13	13	13
18	8	14
1	19	8
3	12	13
18	3	17
17	3	19
8	9	3
17	19	11
2	16	15
19	7	19
5	18	10
1	8	12
5	6	8
9	19	10
12	10	1
18	2	4
9	12	8
3	1	8
13	2	19
4	10	3
15	1	8
12	18	16
8	9	19
5	12	18
14	3	16
19	17	15
2	19	13
5	2	13
6	11	14
15	17	5
10	8	12
11	17	17
1	18	9
13	13	17
5	16	18
15	14	5
3	13	15
16	7	11
12	9	14
14	10	14
16	17	5
17	14	6
15	10	15
15	6	2
13	10	11
16	10	11
11	8	15
18	11	15
14	18	8
18	2	4
18	6	14
15	2	13
4	3	17
14	15	11
14	13	9
13	4	4
6	11	17
10	3	19
8	3	19
6	12	10
14	12	10
9	4	3
9	14	10
1	5	3
12	2	11
5	19	1
7	8	15
6	2	8
14	9	15
14	18	6
13	8	2
15	4	9
14	19	15
17	5	4
15	14	10
16	12	9
6	8	17
9	7	1
13	17	7
1	13	15
5	5	17
16	18	11
10	17	10
17	13	16
10	18	14
16	10	18
15	19	17
16	19	15
1	14	2
13	4	14
14	17	6
2	14	14
7	1	11
18	11	19
10	6	9
13	16	6
9	2	19
5	9	7
10	2	16
18	19	9
12	8	18
1	8	8
10	3	14
9	17	19
13	5	19
17	13	2
10	8	17
16	4	14
18	8	16
11	7	17
17	12	6
9	19	12
9	10	15
19	12	2
11	1	7
5	12	19
19	19	11
14	5	4
7	15	13
6	16	17
1	8	7
14	4	3
18	11	7
6	19	19
18	12	7
6	2	3
1	2	10
7	10	5
13	19	9
11	2	15
17	1	4
2	1	1
11	2	10
19	10	7
13	16	18
12	8	11
16	16	17
7	11	4
4	8	3
10	11	6
3	10	19
7	15	2
13	15	17
17	17	12
8	16	8
2	19	1
7	17	12
16	17	2
16	16	3
3	7	18
